COMP;REGIAO;UF;MUNICIPIO;NOME_ESTABELECIMENTO;RAZAO_SOCIAL;DS_TIPO_UNIDADE;DESC_NATUREZA_JURIDICA;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;CO_CEP;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS;UTI_ADULTO_EXIST;UTI_ADULTO_SUS;UTI_PEDIATRICO_EXIST;UTI_PEDIATRICO_SUS;UTI_NEONATAL_EXIST;UTI_NEONATAL_SUS;UTI_QUEIMADO_EXIST;UTI_QUEIMADO_SUS;UTI_CORONARIANA_EXIST;UTI_CORONARIANA_SUS
202302;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL BELA VISTA SANTA DULCE DOS POBRES;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÚBLICO;RUA ANTONIO CARLOS;122;CONSOLACAO;1309010;113;93;20;0;20;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL BRASILANDIA;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÚBLICO;AVENIDA MICHIHISA MURATA;150;JARDIM MARISTELA;2806160;204;204;30;30;20;20;10;10;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL BRIGADEIRO;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÚBLICO;AVENIDA BRIGADEIRO LUIS ANTONIO;4805;JARDIM PAULISTA;1401002;85;75;10;0;10;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;HOSPITAL MUNICIPAL GUARAPIRANGA;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÚBLICO;ESTRADA DA RIVIERA;4742;RIVIERA PAULISTA;4916000;186;156;30;0;30;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA;IMPAR SERVICOS HOSPITALARES SA;HOSPITAL GERAL;HOSPITAL_PRIVADO;AVENIDA SANTO AMARO;2468;BROOKLIN PAULISTA;4556901;199;0;50;0;50;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;HOSPITAL SANCTA MAGGIORE DUBAI;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA FRANCISCO TRAMONTANO;100;REAL PARQUE;5686902;170;0;37;0;37;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE RUSSIA;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;AVENIDA PROFESSOR FRANCISCO MORATO;1133;BUTANTA;5513100;33;0;0;0;0;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;CRIA CASA DE PARTO;CENTRO DE PARTO HUMANIZADO VILA MARIANA EIRELI;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA DOUTOR LOPES DE ALMEIDA;16;VILA MARIANA;4120070;7;0;0;0;0;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;PA SAO RAFAEL;PA SAO RAFAEL SERVICOS MEDICOS LTDA;PRONTO SOCORRO GERAL;HOSPITAL_PRIVADO;AVENIDA ADOLFO PINHEIRO;2100;SANTO AMARO;4734003;5;0;0;0;0;0;0;0;0;0;0;0;0;0
202302;SUDESTE;SP;SAO PAULO;HOSPITAL ESPORTE E SAUDE LTDA BR SURGERY;HOSPITAL ESPORTE E SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;AV FAGUNDES FILHO;475;VILA MONTE ALEGRE;4304010;14;0;2;0;2;0;0;0;0;0;0;0;0;0
